#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         234     1.20102     1.20033 1.97912e-05
         235     1.20103     1.20034 1.99244e-05
         236     1.20104     1.20034  2.0058e-05
         237     1.20104     1.20034  2.0192e-05
         238     1.20105     1.20035 2.03264e-05
         239     1.20106     1.20035 2.04611e-05
         240     1.20107     1.20035 2.05963e-05
         241     1.20108     1.20036 2.07318e-05
         242     1.20109     1.20036 2.08677e-05
         243      1.2011     1.20036  2.1004e-05
         244     1.20111     1.20036 2.11406e-05
         245     1.20112     1.20037 2.12776e-05
         246     1.20113     1.20037 2.14151e-05
         247     1.20114     1.20037 2.15528e-05
         248     1.20115     1.20038  2.1691e-05
         249     1.20116     1.20038 2.18296e-05
         250     1.20117     1.20038 2.19685e-05
         251     1.20118     1.20039 2.21078e-05
         252     1.20119     1.20039 2.22475e-05
         253      1.2012     1.20039 2.23875e-05
         254     1.20121      1.2004  2.2528e-05
         255     1.20122      1.2004 2.26688e-05
         256     1.20123      1.2004   2.281e-05
         257     1.20124     1.20041 2.29516e-05
         258     1.20125     1.20041 2.30936e-05
         259     1.20126     1.20041 2.32359e-05
         260     1.20127     1.20042 2.33787e-05
         261     1.20128     1.20042 2.35218e-05
         262     1.20129     1.20042 2.36652e-05
         263      1.2013     1.20043 2.38091e-05
         264     1.20131     1.20043 2.39534e-05
         265     1.20132     1.20043  2.4098e-05
         266     1.20133     1.20044  2.4243e-05
         267     1.20134     1.20044 2.43883e-05
         268     1.20135     1.20044 2.45341e-05
         269     1.20136     1.20045 2.46802e-05
         270     1.20137     1.20045 2.48267e-05
         271     1.20138     1.20045 2.49736e-05
         272      1.2014     1.20046 2.51208e-05
         273     1.20141     1.20046 2.52684e-05
         274     1.20142     1.20046 2.54164e-05
         275     1.20143     1.20047 2.55648e-05
         276     1.20144     1.20047 2.57136e-05
         277     1.20145     1.20047 2.58627e-05
         278     1.20146     1.20048 2.60122e-05
         279     1.20147     1.20048 2.61621e-05
         280     1.20148     1.20048 2.63124e-05
         281     1.20149     1.20049  2.6463e-05
         282     1.20151     1.20049 2.66141e-05
         283     1.20152      1.2005 2.67655e-05
         284     1.20153      1.2005 2.69173e-05
         285     1.20154      1.2005 2.70695e-05
         286     1.20155     1.20051 2.72221e-05
         287     1.20156     1.20051  2.7375e-05
         288     1.20157     1.20051 2.75284e-05
         289     1.20159     1.20052 2.76821e-05
         290      1.2016     1.20052 2.78362e-05
         291     1.20161     1.20053 2.79907e-05
         292     1.20162     1.20053 2.81456e-05
         293     1.20163     1.20053 2.83008e-05
         294     1.20165     1.20054 2.84565e-05
         295     1.20166     1.20054 2.86125e-05
         296     1.20167     1.20054 2.87689e-05
         297     1.20168     1.20055 2.89257e-05
         298     1.20169     1.20055 2.90829e-05
         299     1.20171     1.20056 2.92404e-05
         300     1.20172     1.20056 2.93984e-05
         301     1.20173     1.20056 2.95567e-05
         302     1.20174     1.20057 2.97154e-05
         303     1.20175     1.20057 2.98745e-05
         304     1.20177     1.20057  3.0034e-05
         305     1.20178     1.20058 3.01939e-05
         306     1.20179     1.20058 3.03541e-05
         307      1.2018     1.20059 3.05147e-05
         308     1.20182     1.20059 3.06758e-05
         309     1.20183     1.20059 3.08372e-05
         310     1.20184      1.2006  3.0999e-05
         311     1.20185      1.2006 3.11612e-05
         312     1.20187     1.20061 3.13237e-05
         313     1.20188     1.20061 3.14867e-05
         314     1.20189     1.20062   3.165e-05
         315     1.20191     1.20062 3.18138e-05
         316     1.20192     1.20062 3.19779e-05
         317     1.20193     1.20063 3.21424e-05
         318     1.20195     1.20063 3.23073e-05
         319     1.20196     1.20064 3.24726e-05
         320     1.20197     1.20064 3.26383e-05
         321     1.20198     1.20064 3.28044e-05
         322       1.202     1.20065 3.29709e-05
         323     1.20201     1.20065 3.31378e-05
         324     1.20202     1.20066  3.3305e-05
         325     1.20204     1.20066 3.34727e-05
         326     1.20205     1.20067 3.36407e-05
         327     1.20207     1.20067 3.38092e-05
         328     1.20208     1.20067  3.3978e-05
         329     1.20209     1.20068 3.41473e-05
         330     1.20211     1.20068 3.43169e-05
         331     1.20212     1.20069  3.4487e-05
         332     1.20213     1.20069 3.46574e-05
         333     1.20215      1.2007 3.48282e-05
         334     1.20216      1.2007 3.49995e-05
         335     1.20218      1.2007 3.51711e-05
         336     1.20219     1.20071 3.53431e-05
         337      1.2022     1.20071 3.55155e-05
         338     1.20222     1.20072 3.56884e-05
         339     1.20223     1.20072 3.58616e-05
         340     1.20225     1.20073 3.60352e-05
         341     1.20226     1.20073 3.62093e-05
         342     1.20228     1.20074 3.63837e-05
         343     1.20229     1.20074 3.65585e-05
         344      1.2023     1.20074 3.67338e-05
         345     1.20232     1.20075 3.69094e-05
         346     1.20233     1.20075 3.70855e-05
         347     1.20235     1.20076 3.72619e-05
         348     1.20236     1.20076 3.74388e-05
         349     1.20238     1.20077  3.7616e-05
         350     1.20239     1.20077 3.77937e-05
         351     1.20241     1.20078 3.79718e-05
         352     1.20242     1.20078 3.81503e-05
         353     1.20244     1.20079 3.83292e-05
         354     1.20245     1.20079 3.85085e-05
         355     1.20247      1.2008 3.86882e-05
         356     1.20248      1.2008 3.88684e-05
         357      1.2025     1.20081 3.90489e-05
         358     1.20251     1.20081 3.92299e-05
         359     1.20253     1.20081 3.94112e-05
         360     1.20254     1.20082  3.9593e-05
         361     1.20256     1.20082 3.97752e-05
         362     1.20257     1.20083 3.99578e-05
         363     1.20259     1.20083 4.01408e-05
         364      1.2026     1.20084 4.03242e-05
         365     1.20262     1.20084 4.05081e-05
         366     1.20264     1.20085 4.06924e-05
         367     1.20265     1.20085  4.0877e-05
         368     1.20267     1.20086 4.10621e-05
         369     1.20268     1.20086 4.12476e-05
         370      1.2027     1.20087 4.14336e-05
         371     1.20272     1.20087 4.16199e-05
         372     1.20273     1.20088 4.18067e-05
         373     1.20275     1.20088 4.19939e-05
         374     1.20276     1.20089 4.21815e-05
         375     1.20278     1.20089 4.23695e-05
         376      1.2028      1.2009 4.25579e-05
         377     1.20281      1.2009 4.27468e-05
         378     1.20283     1.20091 4.29361e-05
         379     1.20285     1.20091 4.31258e-05
         380     1.20286     1.20092 4.33159e-05
         381     1.20288     1.20092 4.35065e-05
         382      1.2029     1.20093 4.36975e-05
         383     1.20291     1.20093 4.38889e-05
         384     1.20293     1.20094 4.40808e-05
         385     1.20295     1.20094  4.4273e-05
         386     1.20296     1.20095 4.44657e-05
         387     1.20298     1.20096 4.46589e-05
         388       1.203     1.20096 4.48524e-05
         389     1.20301     1.20097 4.50465e-05
         390     1.20303     1.20097 4.52409e-05
         391     1.20305     1.20098 4.54358e-05
         392     1.20306     1.20098 4.56311e-05
         393     1.20308     1.20099 4.58268e-05
         394      1.2031     1.20099  4.6023e-05
         395     1.20312       1.201 4.62196e-05
         396     1.20313       1.201 4.64167e-05
         397     1.20315     1.20101 4.66142e-05
         398     1.20317     1.20101 4.68121e-05
         399     1.20319     1.20102 4.70105e-05
         400      1.2032     1.20103 4.72093e-05
         401     1.20322     1.20103 4.74086e-05
         402     1.20324     1.20104 4.76083e-05
         403     1.20326     1.20104 4.78084e-05
         404     1.20328     1.20105  4.8009e-05
         405     1.20329     1.20105 4.82101e-05
         406     1.20331     1.20106 4.84116e-05
         407     1.20333     1.20106 4.86135e-05
         408     1.20335     1.20107 4.88159e-05
         409     1.20337     1.20108 4.90188e-05
         410     1.20339     1.20108 4.92221e-05
         411      1.2034     1.20109 4.94258e-05
         412     1.20342     1.20109   4.963e-05
         413     1.20344      1.2011 4.98346e-05
         414     1.20346      1.2011 5.00397e-05
         415     1.20348     1.20111 5.02453e-05
         416      1.2035     1.20111 5.04513e-05
         417     1.20352     1.20112 5.06578e-05
         418     1.20353     1.20113 5.08647e-05
         419     1.20355     1.20113 5.10721e-05
         420     1.20357     1.20114 5.12799e-05
         421     1.20359     1.20114 5.14882e-05
         422     1.20361     1.20115  5.1697e-05
         423     1.20363     1.20116 5.19062e-05
         424     1.20365     1.20116 5.21159e-05
         425     1.20367     1.20117 5.23261e-05
         426     1.20369     1.20117 5.25367e-05
         427     1.20371     1.20118 5.27478e-05
         428     1.20373     1.20119 5.29594e-05
         429     1.20375     1.20119 5.31714e-05
         430     1.20377      1.2012 5.33839e-05
         431     1.20379      1.2012 5.35969e-05
         432     1.20381     1.20121 5.38103e-05
         433     1.20383     1.20122 5.40242e-05
         434     1.20385     1.20122 5.42386e-05
         435     1.20387     1.20123 5.44535e-05
         436     1.20389     1.20123 5.46689e-05
         437     1.20391     1.20124 5.48847e-05
         438     1.20393     1.20125  5.5101e-05
         439     1.20395     1.20125 5.53178e-05
         440     1.20397     1.20126 5.55351e-05
         441     1.20399     1.20126 5.57529e-05
         442     1.20401     1.20127 5.59711e-05
         443     1.20403     1.20128 5.61898e-05
         444     1.20405     1.20128 5.64091e-05
         445     1.20407     1.20129 5.66288e-05
         446     1.20409      1.2013 5.68489e-05
         447     1.20411      1.2013 5.70696e-05
         448     1.20413     1.20131 5.72908e-05
         449     1.20415     1.20131 5.75124e-05
         450     1.20417     1.20132 5.77346e-05
         451     1.20419     1.20133 5.79572e-05
         452     1.20422     1.20133 5.81804e-05
         453     1.20424     1.20134  5.8404e-05
         454     1.20426     1.20135 5.86281e-05
