#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         440  -0.0383603  -0.0339345 9.27174e-05
         441   -0.038391  -0.0339446 9.30563e-05
         442  -0.0384242  -0.0339547  9.3396e-05
         443  -0.0384552  -0.0339649 9.37361e-05
         444  -0.0384838  -0.0339751 9.40759e-05
         445   -0.038515  -0.0339853  9.4416e-05
         446  -0.0385462  -0.0339955 9.47565e-05
         447  -0.0385776  -0.0340058 9.50974e-05
         448   -0.038609   -0.034016 9.54386e-05
         449  -0.0386405  -0.0340263 9.57802e-05
         450  -0.0386746  -0.0340367 9.61227e-05
         451  -0.0387063   -0.034047 9.64656e-05
         452  -0.0387382  -0.0340574 9.68089e-05
         453  -0.0387749  -0.0340678 9.71537e-05
         454   -0.038807  -0.0340782 9.74989e-05
         455  -0.0388416  -0.0340887 9.78451e-05
         456  -0.0388786  -0.0340992 9.81927e-05
         457  -0.0389134  -0.0341097 9.85413e-05
         458  -0.0389483  -0.0341203 9.88908e-05
         459  -0.0389809  -0.0341309 9.92407e-05
         460   -0.039016  -0.0341415 9.95916e-05
         461  -0.0390536  -0.0341522 9.99439e-05
         462  -0.0390865  -0.0341629 0.000100297
         463  -0.0391196  -0.0341736  0.00010065
         464  -0.0391528  -0.0341843 0.000101003
         465  -0.0391908  -0.0341951 0.000101358
         466  -0.0392265  -0.0342059 0.000101714
         467  -0.0392624  -0.0342167 0.000102071
         468  -0.0392984  -0.0342275 0.000102429
         469  -0.0393321  -0.0342384 0.000102787
         470   -0.039366  -0.0342493 0.000103146
         471  -0.0393999  -0.0342603 0.000103505
         472   -0.039434  -0.0342712 0.000103864
         473  -0.0394705  -0.0342822 0.000104225
         474  -0.0395024  -0.0342932 0.000104585
         475  -0.0395368  -0.0343043 0.000104946
         476  -0.0395713  -0.0343153 0.000105307
         477  -0.0396059  -0.0343264 0.000105669
         478  -0.0396501  -0.0343376 0.000106033
         479  -0.0396874  -0.0343487 0.000106398
         480  -0.0397223  -0.0343599 0.000106764
         481  -0.0397574  -0.0343712  0.00010713
         482  -0.0397926  -0.0343824 0.000107497
         483  -0.0398279  -0.0343937 0.000107864
         484  -0.0398633   -0.034405 0.000108231
         485  -0.0398989  -0.0344163 0.000108599
         486  -0.0399345  -0.0344277 0.000108968
         487  -0.0399703   -0.034439 0.000109337
         488  -0.0400085  -0.0344505 0.000109707
         489  -0.0400445  -0.0344619 0.000110077
         490  -0.0400807  -0.0344734 0.000110448
         491  -0.0401169  -0.0344849  0.00011082
         492  -0.0401532  -0.0344964 0.000111192
         493  -0.0401897  -0.0345079 0.000111564
         494  -0.0402263  -0.0345195 0.000111937
         495  -0.0402654  -0.0345311 0.000112312
         496  -0.0403046  -0.0345427 0.000112687
         497  -0.0403415  -0.0345544 0.000113062
         498  -0.0403786  -0.0345661 0.000113439
         499  -0.0404182  -0.0345778 0.000113816
         500  -0.0404579  -0.0345896 0.000114194
         501  -0.0404929  -0.0346014 0.000114573
         502  -0.0405305  -0.0346132 0.000114952
         503  -0.0405682   -0.034625 0.000115331
         504   -0.040606  -0.0346369 0.000115711
         505  -0.0406486  -0.0346488 0.000116093
         506   -0.040689  -0.0346607 0.000116475
         507  -0.0407272  -0.0346727 0.000116859
         508  -0.0407655  -0.0346847 0.000117242
         509  -0.0408087  -0.0346967 0.000117628
         510  -0.0408472  -0.0347088 0.000118014
         511  -0.0408906  -0.0347209 0.000118401
         512  -0.0409294   -0.034733 0.000118789
         513  -0.0409731  -0.0347452 0.000119179
         514  -0.0410121  -0.0347574 0.000119569
         515  -0.0410513  -0.0347696  0.00011996
         516  -0.0410906  -0.0347818 0.000120351
         517  -0.0411324  -0.0347941 0.000120744
         518   -0.041172  -0.0348064 0.000121137
         519  -0.0412164  -0.0348188 0.000121531
         520  -0.0412562  -0.0348312 0.000121926
         521  -0.0412985  -0.0348436 0.000122323
         522  -0.0413386   -0.034856  0.00012272
         523  -0.0413788  -0.0348685 0.000123117
         524  -0.0414215   -0.034881 0.000123516
         525   -0.041462  -0.0348935 0.000123915
         526  -0.0415026  -0.0349061 0.000124315
         527  -0.0415433  -0.0349187 0.000124715
         528  -0.0415841  -0.0349313 0.000125116
         529  -0.0416251   -0.034944 0.000125518
         530  -0.0416662  -0.0349567  0.00012592
         531  -0.0417075  -0.0349694 0.000126323
         532  -0.0417465  -0.0349821 0.000126726
         533  -0.0417857  -0.0349949  0.00012713
         534  -0.0418273  -0.0350077 0.000127534
         535  -0.0418715  -0.0350205 0.000127939
         536  -0.0419134  -0.0350334 0.000128345
         537  -0.0419554  -0.0350462 0.000128752
         538  -0.0419976  -0.0350592 0.000129159
         539  -0.0420399  -0.0350721 0.000129568
         540  -0.0420848  -0.0350851 0.000129977
         541  -0.0421274  -0.0350981 0.000130387
         542  -0.0421725  -0.0351112 0.000130798
         543   -0.042213  -0.0351243 0.000131209
         544   -0.042256  -0.0351374 0.000131621
         545  -0.0422991  -0.0351505 0.000132034
         546  -0.0423424  -0.0351637 0.000132448
         547  -0.0423858  -0.0351769 0.000132862
         548  -0.0424317  -0.0351901 0.000133278
         549  -0.0424778  -0.0352034 0.000133694
         550  -0.0425263  -0.0352167 0.000134112
         551  -0.0425703  -0.0352301 0.000134532
         552  -0.0426168  -0.0352434 0.000134952
         553  -0.0426634  -0.0352569 0.000135373
         554  -0.0427078  -0.0352703 0.000135795
         555  -0.0427547  -0.0352838 0.000136218
         556  -0.0427994  -0.0352973 0.000136642
         557  -0.0428442  -0.0353109 0.000137067
         558  -0.0428915  -0.0353244 0.000137493
         559  -0.0429366  -0.0353381  0.00013792
         560  -0.0429866  -0.0353517 0.000138348
         561   -0.043032  -0.0353654 0.000138777
         562  -0.0430799  -0.0353791 0.000139208
         563  -0.0431256  -0.0353929 0.000139639
         564  -0.0431762  -0.0354067 0.000140071
         565  -0.0432198  -0.0354205 0.000140504
         566  -0.0432659  -0.0354344 0.000140938
         567  -0.0433122  -0.0354483 0.000141373
         568  -0.0433634  -0.0354622 0.000141809
         569  -0.0434099  -0.0354762 0.000142246
