#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         248     1.80172     1.80057 3.25365e-05
         249     1.80174     1.80057 3.27443e-05
         250     1.80175     1.80058 3.29527e-05
         251     1.80177     1.80058 3.31617e-05
         252     1.80178     1.80058 3.33712e-05
         253      1.8018     1.80059 3.35813e-05
         254     1.80181     1.80059  3.3792e-05
         255     1.80183      1.8006 3.40032e-05
         256     1.80184      1.8006  3.4215e-05
         257     1.80186     1.80061 3.44274e-05
         258     1.80187     1.80061 3.46404e-05
         259     1.80189     1.80062 3.48539e-05
         260      1.8019     1.80062  3.5068e-05
         261     1.80192     1.80063 3.52826e-05
         262     1.80193     1.80063 3.54979e-05
         263     1.80195     1.80064 3.57137e-05
         264     1.80197     1.80064   3.593e-05
         265     1.80198     1.80065 3.61469e-05
         266       1.802     1.80065 3.63644e-05
         267     1.80201     1.80066 3.65825e-05
         268     1.80203     1.80066 3.68011e-05
         269     1.80204     1.80067 3.70203e-05
         270     1.80206     1.80067   3.724e-05
         271     1.80208     1.80068 3.74603e-05
         272     1.80209     1.80068 3.76812e-05
         273     1.80211     1.80069 3.79027e-05
         274     1.80213      1.8007 3.81247e-05
         275     1.80214      1.8007 3.83472e-05
         276     1.80216     1.80071 3.85704e-05
         277     1.80217     1.80071 3.87941e-05
         278     1.80219     1.80072 3.90183e-05
         279     1.80221     1.80072 3.92432e-05
         280     1.80222     1.80073 3.94686e-05
         281     1.80224     1.80073 3.96946e-05
         282     1.80226     1.80074 3.99211e-05
         283     1.80228     1.80074 4.01482e-05
         284     1.80229     1.80075  4.0376e-05
         285     1.80231     1.80075 4.06042e-05
         286     1.80233     1.80076 4.08331e-05
         287     1.80234     1.80077 4.10625e-05
         288     1.80236     1.80077 4.12926e-05
         289     1.80238     1.80078 4.15231e-05
         290      1.8024     1.80078 4.17543e-05
         291     1.80241     1.80079  4.1986e-05
         292     1.80243     1.80079 4.22183e-05
         293     1.80245      1.8008 4.24512e-05
         294     1.80247      1.8008 4.26847e-05
         295     1.80249     1.80081 4.29187e-05
         296      1.8025     1.80082 4.31533e-05
         297     1.80252     1.80082 4.33885e-05
         298     1.80254     1.80083 4.36243e-05
         299     1.80256     1.80083 4.38606e-05
         300     1.80258     1.80084 4.40975e-05
         301     1.80259     1.80084  4.4335e-05
         302     1.80261     1.80085 4.45731e-05
         303     1.80263     1.80086 4.48118e-05
         304     1.80265     1.80086  4.5051e-05
         305     1.80267     1.80087 4.52908e-05
         306     1.80269     1.80087 4.55312e-05
         307     1.80271     1.80088 4.57721e-05
         308     1.80272     1.80089 4.60137e-05
         309     1.80274     1.80089 4.62558e-05
         310     1.80276      1.8009 4.64985e-05
         311     1.80278      1.8009 4.67417e-05
         312      1.8028     1.80091 4.69856e-05
         313     1.80282     1.80092   4.723e-05
         314     1.80284     1.80092 4.74751e-05
         315     1.80286     1.80093 4.77207e-05
         316     1.80288     1.80094 4.79669e-05
         317      1.8029     1.80094 4.82137e-05
         318     1.80292     1.80095  4.8461e-05
         319     1.80294     1.80095  4.8709e-05
         320     1.80296     1.80096 4.89575e-05
         321     1.80298     1.80097 4.92066e-05
         322       1.803     1.80097 4.94563e-05
         323     1.80302     1.80098 4.97066e-05
         324     1.80304     1.80099 4.99575e-05
         325     1.80306     1.80099  5.0209e-05
         326     1.80308       1.801 5.04611e-05
         327      1.8031       1.801 5.07138e-05
         328     1.80312     1.80101  5.0967e-05
         329     1.80314     1.80102 5.12209e-05
         330     1.80316     1.80102 5.14754e-05
         331     1.80318     1.80103 5.17304e-05
         332      1.8032     1.80104 5.19861e-05
         333     1.80322     1.80104 5.22423e-05
