#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         331     2598.43     2636.52     43.5449
         332     2594.57     2636.39      43.414
         333     2590.78     2636.26     43.2838
         334     2587.25     2636.11     43.1545
         335     2583.79     2635.95     43.0259
         336     2580.81     2635.79     42.8982
         337     2576.86     2635.62     42.7713
         338      2573.6     2635.43     42.6451
         339     2570.62     2635.24     42.5197
         340     2567.29     2635.04     42.3952
         341     2564.04     2634.83     42.2713
         342      2561.5     2634.62     42.1483
         343      2558.4      2634.4      42.026
         344     2555.39     2634.17     41.9044
         345     2552.45     2633.93     41.7837
         346     2549.81     2633.69     41.6636
         347     2546.84     2633.44     41.5443
         348     2544.57     2633.18     41.4257
         349     2541.97     2632.92     41.3078
         350     2539.67     2632.65     41.1906
         351     2537.45     2632.38     41.0742
         352     2535.12     2632.11     40.9584
         353     2532.66     2631.82     40.8434
         354     2530.51     2631.54      40.729
         355     2528.44     2631.25     40.6153
         356     2526.05     2630.95     40.5023
         357     2524.16     2630.65     40.3899
         358     2521.75     2630.35     40.2783
         359     2519.84     2630.04     40.1672
         360     2518.02     2629.73     40.0569
         361     2516.92     2629.42     39.9471
         362      2515.5      2629.1      39.838
         363     2513.75     2628.78     39.7295
         364     2512.71     2628.47     39.6217
         365     2511.56     2628.14     39.5144
         366     2510.51     2627.82     39.4078
         367     2509.54      2627.5     39.3017
         368     2508.45     2627.18     39.1962
         369     2507.66     2626.85     39.0914
         370     2507.17     2626.53      38.987
         371     2506.77     2626.21     38.8833
         372     2506.45     2625.89     38.7801
         373     2505.81     2625.56     38.6775
         374     2505.46     2625.24     38.5754
         375     2505.61     2624.92     38.4738
         376     2505.01      2624.6     38.3728
         377     2504.91     2624.29     38.2724
         378      2505.1     2623.97     38.1724
         379     2505.16     2623.66      38.073
         380     2505.72     2623.35      37.974
         381     2505.53     2623.04     37.8756
         382     2506.04     2622.73     37.7777
         383     2507.05     2622.43     37.6803
         384      2507.5     2622.13     37.5834
         385     2507.83     2621.83     37.4869
         386     2508.64     2621.54     37.3909
         387     2509.32     2621.25     37.2955
         388     2510.07     2620.96     37.2004
         389     2511.11     2620.68     37.1059
         390        2512      2620.4     37.0118
         391     2512.76     2620.13     36.9181
         392     2514.21     2619.86     36.8249
         393     2515.31     2619.59     36.7322
         394     2516.47     2619.33     36.6399
         395     2518.12     2619.07      36.548
         396     2519.63     2618.82     36.4566
         397     2520.78     2618.58     36.3656
         398     2521.99     2618.33     36.2751
         399     2523.68      2618.1     36.1849
         400     2525.22     2617.86     36.0952
         401     2526.62     2617.64     36.0059
         402     2528.28     2617.41      35.917
         403     2529.79      2617.2     35.8286
         404     2531.56     2616.98     35.7405
         405     2533.39     2616.78     35.6529
         406     2535.07     2616.58     35.5656
         407        2537     2616.38     35.4788
         408      2539.2     2616.19     35.3923
         409     2540.83     2616.01     35.3063
         410     2542.51     2615.83     35.2206
         411     2544.64     2615.66     35.1353
         412     2546.21     2615.49     35.0504
         413     2548.44     2615.32      34.966
         414     2550.93     2615.17     34.8818
         415     2552.84     2615.02     34.7981
         416     2555.63     2614.88     34.7148
         417     2558.87     2614.74     34.6318
         418     2561.53     2614.61     34.5492
         419     2563.82     2614.49     34.4669
         420     2565.73     2614.38      34.385
         421     2568.51     2614.27     34.3035
         422     2570.71     2614.16     34.2224
         423     2573.15     2614.07     34.1416
         424     2575.62     2613.98     34.0612
         425     2578.34     2613.89     33.9812
         426     2581.09     2613.82     33.9015
         427     2584.29     2613.75     33.8222
         428     2586.89     2613.68     33.7432
         429     2589.73     2613.63     33.6646
         430     2593.01     2613.58     33.5864
         431      2595.7     2613.54     33.5085
         432     2598.61      2613.5     33.4309
         433     2601.14     2613.48     33.3537
         434      2604.1     2613.45     33.2769
         435     2607.08     2613.44     33.2004
         436     2609.87     2613.43     33.1242
         437     2612.88     2613.43     33.0484
         438      2615.7     2613.44      32.973
         439     2618.53     2613.45     32.8979
         440     2621.79     2613.47     32.8231
         441     2624.64     2613.49     32.7487
         442      2627.7     2613.52     32.6746
         443     2630.57     2613.56     32.6009
         444     2633.64     2613.61     32.5275
         445     2636.92     2613.66     32.4544
         446     2640.41     2613.72     32.3817
         447     2643.48     2613.79     32.3093
         448     2646.33     2613.86     32.2373
         449      2649.6     2613.94     32.1656
         450     2652.64     2614.02     32.0942
         451     2655.47     2614.12     32.0232
         452     2658.28     2614.21     31.9525
         453     2661.07     2614.32     31.8821
         454     2664.05     2614.43     31.8121
         455     2666.81     2614.54     31.7424
         456     2669.95     2614.66      31.673
         457     2672.65     2614.79      31.604
         458     2675.54     2614.92     31.5352
         459      2678.8     2615.06     31.4668
         460     2681.41     2615.21     31.3988
         461      2684.4     2615.36      31.331
         462     2687.15     2615.51     31.2636
         463     2689.86     2615.67     31.1965
         464     2692.52     2615.84     31.1297
         465     2695.56     2616.01     31.0632
         466     2697.92     2616.19      30.997
         467     2700.03     2616.37     30.9312
         468      2702.3     2616.55     30.8656
         469     2704.72     2616.74     30.8004
         470     2706.88     2616.93     30.7355
         471     2708.57     2617.12     30.6708
         472     2710.82     2617.32     30.6065
         473     2713.02     2617.52     30.5425
         474     2715.36     2617.73     30.4787
         475     2717.43     2617.94     30.4153
         476     2719.43     2618.15     30.3521
         477     2721.79     2618.37     30.2893
         478     2723.87     2618.59     30.2267
         479     2725.88     2618.82     30.1644
         480     2727.61     2619.04     30.1024
         481     2729.06     2619.27     30.0407
         482     2730.23      2619.5     29.9793
         483     2731.95     2619.73     29.9181
         484      2733.8     2619.97     29.8572
         485     2735.37     2620.21     29.7966
         486     2737.07     2620.45     29.7363
         487     2737.86     2620.69     29.6762
         488     2738.77     2620.93     29.6164
         489     2739.82     2621.17     29.5568
         490     2740.58     2621.42     29.4975
         491     2741.88     2621.66     29.4384
         492     2742.89     2621.91     29.3796
         493     2742.79     2622.15     29.3211
         494     2743.43      2622.4     29.2627
         495     2744.19     2622.65     29.2047
         496     2744.66     2622.89     29.1468
         497     2745.05     2623.14     29.0892
         498     2745.35     2623.38     29.0318
         499     2745.57     2623.63     28.9747
         500      2745.7     2623.87     28.9178
         501     2745.95     2624.12     28.8611
         502     2745.91     2624.36     28.8046
         503     2745.58      2624.6     28.7483
         504     2745.15     2624.84     28.6923
         505     2744.65     2625.08     28.6364
         506     2744.05     2625.31     28.5808
         507     2743.37     2625.54     28.5254
         508     2743.01     2625.78     28.4702
         509     2742.57        2626     28.4152
         510     2741.83     2626.23     28.3604
         511     2741.62     2626.46     28.3058
         512     2740.29     2626.68     28.2514
         513     2739.29      2626.9     28.1971
         514     2737.78     2627.12     28.1431
         515      2736.8     2627.33     28.0893
         516     2735.53     2627.54     28.0356
         517     2734.59     2627.74     27.9821
         518     2733.14     2627.95     27.9289
         519     2731.81     2628.15     27.8758
         520     2729.99     2628.34     27.8228
         521     2728.28     2628.54     27.7701
         522     2726.49     2628.72     27.7175
         523     2724.83     2628.91     27.6652
         524     2723.08     2629.09     27.6129
         525     2721.04     2629.26     27.5609
         526     2719.13     2629.43      27.509
         527     2716.94      2629.6     27.4573
         528     2714.45     2629.76     27.4058
         529      2712.1     2629.92     27.3544
         530     2709.88     2630.07     27.3032
         531     2707.79     2630.21     27.2522
         532     2705.43     2630.35     27.2014
         533     2702.79     2630.49     27.1507
         534     2699.66     2630.62     27.1001
         535     2696.89     2630.74     27.0498
         536     2694.26     2630.86     26.9995
         537     2691.16     2630.97     26.9495
         538     2688.41     2631.08     26.8996
         539      2685.2     2631.18     26.8499
         540     2682.15     2631.28     26.8003
         541     2679.26     2631.36      26.751
         542     2676.32     2631.45     26.7017
         543     2673.14     2631.52     26.6527
         544     2669.09     2631.59     26.6038
         545     2666.47     2631.66      26.555
         546      2663.4     2631.72     26.5064
         547     2659.89     2631.77      26.458
         548     2656.35     2631.81     26.4098
         549     2653.22     2631.85     26.3617
         550     2649.87     2631.88     26.3138
         551     2646.51     2631.91     26.2661
         552     2642.94     2631.93     26.2185
         553     2639.16     2631.94     26.1711
         554     2636.02     2631.95     26.1238
         555     2632.25     2631.95     26.0768
         556     2629.12     2631.95     26.0299
         557      2625.8     2631.94     25.9831
         558     2621.88     2631.92     25.9366
         559     2618.81     2631.89     25.8902
         560     2615.57     2631.86      25.844
         561     2612.77     2631.83     25.7979
         562     2609.17     2631.79     25.7521
         563     2606.03     2631.74     25.7064
         564     2602.94     2631.69     25.6608
         565     2599.89     2631.64     25.6155
         566     2596.89     2631.58     25.5703
         567     2593.31     2631.51     25.5253
         568     2590.62     2631.44     25.4805
         569     2587.57     2631.36     25.4358
         570     2585.21     2631.28     25.3913
         571      2582.7     2631.19      25.347
         572     2580.46      2631.1     25.3028
         573     2577.86     2631.01     25.2588
         574     2575.54     2630.91      25.215
         575     2573.08     2630.81     25.1713
         576      2570.9     2630.71     25.1279
         577     2568.37      2630.6     25.0845
         578     2566.11     2630.49     25.0414
         579     2563.93     2630.38     24.9984
         580     2562.02     2630.26     24.9556
         581     2559.77     2630.14     24.9129
         582      2557.8     2630.01     24.8704
         583     2555.27     2629.88     24.8281
         584     2553.23     2629.75     24.7859
         585     2551.46     2629.62     24.7439
         586     2549.76     2629.48     24.7021
         587     2548.33     2629.34     24.6604
         588     2546.76      2629.2     24.6188
         589     2545.67     2629.06     24.5775
         590     2544.23     2628.92     24.5362
         591     2543.05     2628.77     24.4951
         592     2542.35     2628.63     24.4542
         593     2540.87     2628.48     24.4134
         594     2539.87     2628.33     24.3728
         595      2538.7     2628.18     24.3323
         596      2537.8     2628.03     24.2919
         597     2536.73     2627.87     24.2517
         598      2535.5     2627.72     24.2116
         599     2534.11     2627.56     24.1717
         600     2533.17     2627.41     24.1319
         601     2531.85     2627.25     24.0923
         602     2530.98     2627.09     24.0528
         603     2530.98     2626.93     24.0135
         604     2530.38     2626.77     23.9742
         605     2530.02     2626.61     23.9351
         606     2529.06     2626.45     23.8962
         607     2527.91     2626.29     23.8574
         608     2526.78     2626.12     23.8187
         609      2526.3     2625.96     23.7802
         610     2525.41     2625.79     23.7417
         611     2524.95     2625.63     23.7035
         612      2524.5     2625.46     23.6653
         613     2523.86      2625.3     23.6273
         614     2523.01     2625.13     23.5894
         615     2522.37     2624.96     23.5516
         616     2521.53      2624.8      23.514
         617     2520.89     2624.63     23.4765
         618     2520.67     2624.46     23.4391
         619     2520.02     2624.29     23.4018
         620     2519.58     2624.12     23.3647
         621     2518.72     2623.95     23.3277
         622     2518.05     2623.78     23.2908
         623     2517.38     2623.61      23.254
         624     2516.27     2623.44     23.2174
         625     2515.36     2623.27     23.1809
         626     2514.65     2623.09     23.1445
         627     2513.71     2622.92     23.1083
         628     2513.37     2622.74     23.0721
         629      2512.6     2622.57     23.0361
         630     2511.81     2622.39     23.0002
         631        2511     2622.22     22.9645
         632     2509.75     2622.04     22.9288
         633     2508.68     2621.86     22.8933
         634     2507.59     2621.68     22.8579
         635     2506.69      2621.5     22.8226
         636     2505.76     2621.32     22.7874
         637     2504.81     2621.13     22.7524
         638     2504.03     2620.95     22.7175
         639     2503.03     2620.76     22.6827
         640     2501.79     2620.58      22.648
         641     2500.94     2620.39     22.6134
         642     2499.85      2620.2      22.579
         643     2498.95     2620.02     22.5447
         644      2497.6     2619.83     22.5105
         645     2496.23     2619.63     22.4764
         646     2495.04     2619.44     22.4424
         647      2493.4     2619.25     22.4086
         648     2492.37     2619.05     22.3748
         649     2491.31     2618.85     22.3412
         650     2490.02     2618.66     22.3077
         651     2488.92     2618.46     22.2744
         652     2487.79     2618.26     22.2411
         653     2486.02     2618.05      22.208
         654     2484.44     2617.85     22.1749
         655     2482.84     2617.64     22.1421
         656     2481.43     2617.43     22.1093
         657     2480.22     2617.23     22.0766
         658     2478.99     2617.02     22.0441
         659     2476.71      2616.8     22.0116
         660     2475.45     2616.59     21.9793
         661     2474.19     2616.37     21.9471
         662     2472.92     2616.16      21.915
         663     2471.44     2615.94     21.8831
         664     2470.17     2615.72     21.8512
         665     2468.27      2615.5     21.8195
         666      2466.8     2615.27     21.7879
         667     2465.11     2615.05     21.7564
         668     2463.85     2614.82      21.725
         669     2462.19     2614.59     21.6937
         670     2460.74     2614.36     21.6625
         671     2459.31     2614.13     21.6315
         672      2458.1      2613.9     21.6005
         673      2456.5     2613.67     21.5697
         674     2455.13     2613.43      21.539
         675     2453.57      2613.2     21.5084
         676     2452.04     2612.96     21.4779
         677     2449.92     2612.72     21.4475
         678     2449.07     2612.47     21.4172
         679     2447.63     2612.23     21.3871
         680     2446.44     2611.99      21.357
         681     2444.88     2611.74     21.3271
         682     2443.98      2611.5     21.2972
         683     2443.32     2611.25     21.2674
         684      2442.3        2611     21.2378
         685     2441.33     2610.76     21.2082
         686     2439.99     2610.51     21.1788
         687     2439.11     2610.26     21.1494
         688     2438.08     2610.01     21.1202
         689     2437.52     2609.76      21.091
