#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         253    -6.47158      -6.654   0.0348313
         254    -6.47312    -6.65329   0.0347014
         255    -6.47501    -6.65259   0.0345724
         256    -6.47628     -6.6519   0.0344442
         257    -6.47823    -6.65122   0.0343168
         258    -6.47957    -6.65056   0.0341902
         259    -6.48029     -6.6499   0.0340645
         260    -6.48169    -6.64925   0.0339397
         261     -6.4828    -6.64861   0.0338156
         262    -6.48427    -6.64799   0.0336924
         263    -6.48642    -6.64737   0.0335699
         264    -6.48829    -6.64677   0.0334481
         265     -6.4902    -6.64618   0.0333271
         266    -6.49182     -6.6456   0.0332069
         267    -6.49347    -6.64503   0.0330874
         268    -6.49516    -6.64447   0.0329686
         269    -6.49657    -6.64392   0.0328507
         270    -6.49801    -6.64338   0.0327334
         271    -6.50047    -6.64285   0.0326169
         272    -6.50231    -6.64234   0.0325011
         273    -6.50387    -6.64183    0.032386
         274    -6.50547    -6.64133   0.0322716
         275    -6.50775    -6.64085   0.0321579
         276    -6.51007    -6.64037   0.0320449
         277     -6.5121    -6.63991   0.0319326
         278    -6.51482    -6.63946   0.0318209
         279    -6.51725    -6.63902   0.0317098
         280    -6.51939    -6.63859   0.0315995
         281    -6.52157    -6.63818   0.0314897
         282    -6.52314    -6.63777   0.0313807
         283    -6.52539    -6.63737   0.0312723
         284    -6.52734    -6.63698   0.0311646
         285    -6.52966    -6.63661   0.0310576
         286    -6.53232    -6.63624   0.0309511
         287    -6.53502    -6.63589   0.0308453
         288    -6.53742    -6.63555   0.0307401
         289     -6.5405    -6.63522   0.0306355
         290     -6.5436     -6.6349   0.0305314
         291    -6.54641     -6.6346    0.030428
         292    -6.54924    -6.63431   0.0303252
         293     -6.5508    -6.63402   0.0302231
         294    -6.55336    -6.63375   0.0301215
         295     -6.5556    -6.63348   0.0300206
         296    -6.55787    -6.63323   0.0299202
         297    -6.56081    -6.63298   0.0298205
         298    -6.56278    -6.63275   0.0297214
         299    -6.56542    -6.63252   0.0296228
         300    -6.56775    -6.63231   0.0295249
         301    -6.57041     -6.6321   0.0294275
         302    -6.57276     -6.6319   0.0293307
         303    -6.57544    -6.63172   0.0292345
         304     -6.5778    -6.63154   0.0291389
         305    -6.58049    -6.63137   0.0290438
         306    -6.58285    -6.63122   0.0289493
         307    -6.58587    -6.63107   0.0288554
         308    -6.58759    -6.63093   0.0287621
         309    -6.59028    -6.63079   0.0286693
         310    -6.59329    -6.63067   0.0285771
         311    -6.59597    -6.63056   0.0284854
         312    -6.59832    -6.63046   0.0283943
         313    -6.60098    -6.63036   0.0283037
         314    -6.60396    -6.63028   0.0282137
         315    -6.60627     -6.6302   0.0281242
         316     -6.6089    -6.63014   0.0280353
         317    -6.61086    -6.63008   0.0279469
         318    -6.61346    -6.63002   0.0278591
         319    -6.61571    -6.62998   0.0277718
         320    -6.61827    -6.62994    0.027685
         321    -6.62048    -6.62991   0.0275988
         322    -6.62332    -6.62989   0.0275131
         323    -6.62646    -6.62988   0.0274279
         324    -6.62859    -6.62988   0.0273433
         325    -6.63103    -6.62988   0.0272591
         326    -6.63376    -6.62989   0.0271755
         327    -6.63646    -6.62991   0.0270924
         328    -6.63849    -6.62994   0.0270099
         329    -6.64145    -6.62997   0.0269278
         330     -6.6434    -6.63001   0.0268462
         331    -6.64532    -6.63006   0.0267651
         332    -6.64752    -6.63011   0.0266846
         333    -6.64969    -6.63017   0.0266045
         334    -6.65149    -6.63024   0.0265249
         335    -6.65325    -6.63031   0.0264458
         336    -6.65432    -6.63038   0.0263672
         337    -6.65697    -6.63046   0.0262891
         338    -6.65861    -6.63054   0.0262115
         339    -6.65987    -6.63063   0.0261343
