#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         224    -477.492    -1685.79     46.4989
         225    -472.838     -1680.4     46.6036
         226    -468.374    -1675.03      46.705
         227    -464.198     -1669.7     46.8028
         228    -460.112    -1664.39     46.8973
         229     -456.31    -1659.12     46.9883
         230    -452.496    -1653.87     47.0759
         231    -449.158    -1648.66     47.1601
         232    -446.097    -1643.47     47.2409
         233     -442.92    -1638.32     47.3183
         234     -439.82     -1633.2     47.3924
         235     -436.99    -1628.11     47.4633
         236    -434.427    -1623.05      47.531
         237    -431.932    -1618.02     47.5954
         238      -429.6    -1613.03     47.6566
         239    -427.427    -1608.07     47.7147
         240    -425.411    -1603.14     47.7697
         241    -423.744    -1598.25     47.8215
         242    -422.031    -1593.39     47.8702
         243    -420.464    -1588.56      47.916
         244    -419.137    -1583.77     47.9587
         245     -417.85    -1579.01     47.9984
         246    -416.893    -1574.29     48.0352
         247    -416.262     -1569.6      48.069
         248    -415.368    -1564.94        48.1
         249    -414.498    -1560.32     48.1282
         250    -413.844    -1555.74     48.1537
         251    -413.304    -1551.19     48.1765
         252    -413.265    -1546.67     48.1964
         253    -412.941    -1542.19     48.2138
         254    -412.719    -1537.74     48.2286
         255    -412.497    -1533.33     48.2409
         256    -412.368    -1528.95     48.2508
         257    -412.718    -1524.61     48.2581
         258    -412.958     -1520.3     48.2631
         259    -412.986    -1516.02     48.2657
         260    -413.286    -1511.78     48.2661
         261    -413.561    -1507.57     48.2642
         262    -414.099     -1503.4     48.2601
         263    -414.604    -1499.26     48.2538
         264    -415.169    -1495.15     48.2455
         265    -415.791    -1491.08      48.235
         266    -416.563    -1487.04     48.2226
         267    -417.287    -1483.04     48.2081
         268    -417.959    -1479.06     48.1918
         269    -418.673    -1475.12     48.1736
         270    -419.523    -1471.21     48.1535
         271    -420.311    -1467.33     48.1317
         272    -421.229    -1463.49     48.1082
         273    -422.273    -1459.67     48.0829
         274    -423.246    -1455.89      48.056
         275    -424.046    -1452.14     48.0275
         276    -425.258    -1448.42     47.9974
         277    -426.291    -1444.73     47.9657
         278     -427.34    -1441.07     47.9326
         279    -428.401    -1437.44      47.898
         280    -429.472    -1433.84      47.862
         281    -430.648    -1430.27     47.8247
         282     -431.83    -1426.73      47.786
         283    -433.016    -1423.22     47.7459
         284    -434.106    -1419.73     47.7047
         285    -435.294    -1416.28     47.6622
         286    -436.578    -1412.85     47.6185
         287    -437.565    -1409.46     47.5737
         288    -438.743    -1406.08     47.5277
         289    -439.622    -1402.74     47.4808
         290    -440.884    -1399.42     47.4327
         291    -442.039    -1396.13     47.3837
         292    -443.088    -1392.87     47.3337
         293    -444.028    -1389.63     47.2828
         294    -445.053    -1386.42      47.231
         295    -446.066    -1383.23     47.1784
         296    -447.064    -1380.07     47.1249
         297    -448.048    -1376.93     47.0706
