#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         293    0.553728    0.589819   0.0162186
         294    0.554535    0.589699   0.0161639
         295    0.555362    0.589583   0.0161095
         296    0.556209     0.58947   0.0160555
         297    0.557076    0.589361   0.0160018
         298    0.557963    0.589255   0.0159485
         299    0.558873    0.589154   0.0158954
         300    0.559804    0.589056   0.0158428
         301    0.560758    0.588962   0.0157904
         302    0.561733    0.588872   0.0157384
         303     0.56273    0.588786   0.0156867
         304    0.563749    0.588703   0.0156353
         305    0.564791    0.588625   0.0155842
         306    0.565855     0.58855   0.0155335
         307    0.566941     0.58848    0.015483
         308    0.568048    0.588414   0.0154329
         309    0.569176    0.588351   0.0153831
         310    0.570326    0.588293   0.0153336
         311    0.571497    0.588239   0.0152844
         312    0.572689    0.588189   0.0152354
         313    0.573901    0.588144   0.0151868
         314    0.575134    0.588102   0.0151385
         315    0.576386    0.588065   0.0150905
         316     0.57766    0.588032   0.0150428
         317    0.578954    0.588004   0.0149954
         318    0.580268    0.587979   0.0149482
         319    0.581603    0.587959   0.0149014
         320    0.582956    0.587944   0.0148548
         321    0.584329    0.587932   0.0148086
         322    0.585719    0.587925   0.0147626
         323    0.587127    0.587923   0.0147169
         324    0.588551    0.587925   0.0146714
         325    0.589991    0.587931   0.0146263
         326    0.591447    0.587942   0.0145814
         327    0.592918    0.587957   0.0145369
         328    0.594402    0.587977   0.0144926
         329    0.595899    0.588001   0.0144485
         330     0.59741     0.58803   0.0144048
         331    0.598934    0.588062   0.0143613
         332     0.60047      0.5881   0.0143181
         333    0.602017    0.588142   0.0142751
         334    0.603573    0.588188   0.0142325
         335    0.605138    0.588238   0.0141901
         336    0.606711    0.588293    0.014148
         337    0.608292    0.588353   0.0141061
         338    0.609879    0.588416   0.0140645
         339    0.611472    0.588484   0.0140232
         340    0.613069    0.588557   0.0139821
         341     0.61467    0.588633   0.0139413
         342    0.616273    0.588714   0.0139008
         343    0.617879    0.588799   0.0138605
         344    0.619485    0.588888   0.0138205
         345    0.621093    0.588982   0.0137808
         346      0.6227    0.589079   0.0137413
         347    0.624306    0.589181   0.0137021
         348    0.625909    0.589286   0.0136631
         349    0.627509    0.589396   0.0136244
         350    0.629105    0.589509   0.0135859
         351    0.630696    0.589627   0.0135477
         352    0.632282    0.589748   0.0135098
         353     0.63386    0.589873   0.0134721
         354    0.635432    0.590001   0.0134347
         355    0.636995    0.590134   0.0133975
         356    0.638548     0.59027   0.0133605
         357    0.640093    0.590409   0.0133238
         358    0.641628    0.590552   0.0132874
         359    0.643151    0.590699   0.0132512
         360     0.64466    0.590849   0.0132152
         361    0.646155    0.591002   0.0131795
         362    0.647636    0.591158    0.013144
         363    0.649101    0.591318   0.0131088
         364    0.650552    0.591481   0.0130738
