#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         255     0.76791     1.24501   0.0209788
         256    0.768734     1.24315   0.0209792
         257    0.769602      1.2413   0.0209784
         258     0.77051     1.23948   0.0209763
         259    0.771455     1.23767    0.020973
         260    0.772437     1.23588   0.0209685
         261    0.773451     1.23411   0.0209629
         262    0.774495     1.23236   0.0209561
         263    0.775567     1.23062   0.0209483
         264    0.776665      1.2289   0.0209394
         265    0.777786      1.2272   0.0209295
         266    0.778927     1.22551   0.0209185
         267    0.780086     1.22384   0.0209066
         268    0.781262     1.22219   0.0208937
         269    0.782451     1.22056   0.0208799
         270    0.783653     1.21894   0.0208652
         271    0.784864     1.21734   0.0208496
         272    0.786084     1.21575   0.0208331
         273     0.78731     1.21418   0.0208158
         274     0.78854     1.21263   0.0207977
         275    0.789774     1.21109   0.0207789
         276    0.791008     1.20957   0.0207593
         277    0.792242     1.20806   0.0207389
         278    0.793473     1.20657   0.0207179
         279    0.794701      1.2051   0.0206961
         280    0.795924     1.20363   0.0206737
         281     0.79714     1.20219   0.0206507
         282    0.798349     1.20076   0.0206271
         283    0.799549     1.19934   0.0206029
         284     0.80074     1.19793   0.0205781
         285    0.801919     1.19654   0.0205527
         286    0.803087     1.19517   0.0205268
         287    0.804244     1.19381   0.0205005
         288    0.805386     1.19246   0.0204736
         289    0.806515     1.19112   0.0204463
         290    0.807629      1.1898   0.0204185
         291    0.808728     1.18849   0.0203903
         292    0.809811     1.18719   0.0203616
         293    0.810879     1.18591   0.0203326
         294     0.81193     1.18464   0.0203032
         295    0.812963     1.18338   0.0202734
         296    0.813978     1.18213   0.0202433
         297    0.814975     1.18089   0.0202129
         298    0.815954     1.17967   0.0201821
         299    0.816915     1.17846    0.020151
         300    0.817856     1.17725   0.0201197
         301    0.818779     1.17606   0.0200881
         302    0.819683     1.17488   0.0200562
         303    0.820567     1.17371    0.020024
         304    0.821433     1.17255   0.0199917
         305     0.82228     1.17141   0.0199591
         306    0.823109     1.17027   0.0199263
         307    0.823918     1.16914   0.0198933
         308    0.824709     1.16802   0.0198601
         309    0.825482     1.16691   0.0198268
         310    0.826236     1.16581   0.0197932
         311    0.826973     1.16472   0.0197595
         312    0.827692     1.16364   0.0197257
         313    0.828393     1.16257   0.0196918
         314    0.829076     1.16151   0.0196577
         315    0.829742     1.16046   0.0196235
         316     0.83039     1.15941   0.0195891
         317    0.831023     1.15838   0.0195547
         318    0.831639     1.15735   0.0195202
         319    0.832239     1.15633   0.0194856
         320    0.832823     1.15532   0.0194509
         321    0.833391     1.15432   0.0194161
         322    0.833943     1.15332   0.0193813
         323    0.834481     1.15233   0.0193464
         324    0.835003     1.15136   0.0193115
         325     0.83551     1.15038   0.0192765
         326    0.836004     1.14942   0.0192415
         327    0.836484     1.14846   0.0192064
         328    0.836951     1.14751   0.0191714
         329    0.837404     1.14657   0.0191362
         330    0.837844     1.14563   0.0191011
         331     0.83827     1.14471    0.019066
         332    0.838684     1.14378   0.0190308
         333    0.839084     1.14287   0.0189956
         334    0.839472     1.14196   0.0189605
         335    0.839848     1.14106   0.0189253
         336    0.840212     1.14016   0.0188901
         337    0.840563     1.13927    0.018855
         338    0.840903     1.13839   0.0188199
         339    0.841232     1.13751   0.0187848
         340    0.841549     1.13664   0.0187497
         341    0.841855     1.13578   0.0187146
         342    0.842151     1.13492   0.0186796
         343    0.842436     1.13407   0.0186446
         344    0.842712     1.13322   0.0186096
         345    0.842977     1.13238   0.0185746
         346    0.843232     1.13154   0.0185398
         347    0.843477     1.13071   0.0185049
         348    0.843713     1.12989   0.0184701
         349    0.843938     1.12907   0.0184353
         350    0.844155     1.12826   0.0184006
         351    0.844362     1.12745    0.018366
         352     0.84456     1.12664   0.0183314
         353    0.844749     1.12585   0.0182968
         354     0.84493     1.12505   0.0182623
         355    0.845102     1.12426   0.0182279
         356    0.845265     1.12348   0.0181936
         357     0.84542      1.1227   0.0181593
         358    0.845567     1.12193    0.018125
         359    0.845706     1.12116   0.0180909
         360    0.845838     1.12039   0.0180568
         361    0.845962     1.11963   0.0180227
         362     0.84608     1.11888   0.0179888
         363    0.846191     1.11813   0.0179549
         364    0.846295     1.11738   0.0179211
         365    0.846393     1.11664   0.0178874
         366    0.846485      1.1159   0.0178537
         367    0.846571     1.11516   0.0178202
         368    0.846652     1.11443   0.0177867
         369    0.846727     1.11371   0.0177533
         370    0.846798     1.11299   0.0177199
         371    0.846864     1.11227   0.0176867
         372    0.846926     1.11156   0.0176535
         373    0.846983     1.11085   0.0176204
         374    0.847038     1.11014   0.0175874
         375    0.847089     1.10944   0.0175545
         376    0.847137     1.10874   0.0175217
         377    0.847183     1.10805   0.0174889
         378    0.847228     1.10736   0.0174563
         379    0.847271     1.10667   0.0174237
         380    0.847313     1.10599   0.0173912
         381    0.847354     1.10531   0.0173588
         382    0.847395     1.10464   0.0173265
         383    0.847436     1.10396   0.0172943
         384    0.847477      1.1033   0.0172621
         385     0.84752     1.10263   0.0172301
         386    0.847564     1.10197   0.0171981
         387    0.847609     1.10131   0.0171662
         388    0.847656     1.10066   0.0171344
         389    0.847706     1.10001   0.0171027
         390    0.847758     1.09936   0.0170711
         391    0.847813     1.09872   0.0170395
         392     0.84787     1.09808   0.0170081
         393    0.847931     1.09744   0.0169767
         394    0.847995     1.09681   0.0169454
         395    0.848063     1.09618   0.0169142
         396    0.848134     1.09555   0.0168831
         397    0.848209     1.09493   0.0168521
         398    0.848288     1.09431   0.0168211
         399    0.848371      1.0937   0.0167902
         400    0.848457     1.09308   0.0167594
         401    0.848547     1.09247   0.0167287
         402    0.848641     1.09187   0.0166981
         403    0.848738     1.09126   0.0166676
         404    0.848838     1.09066   0.0166371
         405    0.848941     1.09007   0.0166067
         406    0.849048     1.08947   0.0165764
         407    0.849157     1.08888   0.0165462
         408    0.849268     1.08829   0.0165161
         409    0.849381     1.08771    0.016486
         410    0.849496     1.08713   0.0164561
         411    0.849612     1.08655   0.0164262
         412    0.849729     1.08598   0.0163964
         413    0.849846      1.0854   0.0163666
         414    0.849964     1.08484    0.016337
         415    0.850081     1.08427   0.0163074
         416    0.850196     1.08371   0.0162779
         417     0.85031     1.08315   0.0162485
         418    0.850421     1.08259   0.0162191
         419    0.850528     1.08204   0.0161899
         420    0.850632     1.08149   0.0161607
         421    0.850732     1.08094   0.0161316
         422    0.850826     1.08039   0.0161026
         423    0.850915     1.07985   0.0160737
         424    0.850998     1.07931   0.0160448
         425    0.851074     1.07877   0.0160161
         426    0.851142     1.07824   0.0159874
         427    0.851202     1.07771   0.0159588
         428    0.851254     1.07718   0.0159303
         429    0.851296     1.07665   0.0159018
         430     0.85133     1.07613   0.0158735
         431    0.851353     1.07561   0.0158452
         432    0.851366     1.07509    0.015817
         433    0.851367     1.07457   0.0157889
         434    0.851358     1.07406   0.0157609
         435    0.851336     1.07354    0.015733
         436    0.851302     1.07303   0.0157052
         437    0.851256     1.07253   0.0156774
         438    0.851197     1.07202   0.0156498
         439    0.851125     1.07152   0.0156222
         440     0.85104     1.07102   0.0155948
         441     0.85094     1.07052   0.0155674
         442    0.850827     1.07002   0.0155401
         443    0.850701     1.06953   0.0155129
         444     0.85056     1.06903   0.0154858
         445    0.850405     1.06854   0.0154588
         446    0.850237     1.06805   0.0154319
         447    0.850055     1.06756    0.015405
         448    0.849859     1.06708   0.0153783
         449    0.849649     1.06659   0.0153517
         450    0.849427     1.06611   0.0153252
         451    0.849191     1.06563   0.0152987
         452    0.848942     1.06515   0.0152724
         453    0.848682     1.06467   0.0152462
         454    0.848408      1.0642     0.01522
         455    0.848123     1.06372    0.015194
         456    0.847826     1.06325    0.015168
         457    0.847518     1.06278   0.0151422
         458      0.8472     1.06231   0.0151164
         459    0.846871     1.06184   0.0150908
         460    0.846533     1.06137   0.0150652
         461    0.846185      1.0609   0.0150398
         462    0.845829     1.06044   0.0150144
         463    0.845466     1.05997   0.0149892
         464    0.845095     1.05951    0.014964
         465    0.844718     1.05905    0.014939
         466    0.844335     1.05859    0.014914
         467    0.843947     1.05813   0.0148892
         468    0.843555     1.05767   0.0148644
         469    0.843159     1.05721   0.0148398
         470    0.842761     1.05675   0.0148152
         471     0.84236      1.0563   0.0147907
         472    0.841957     1.05585   0.0147664
         473    0.841554     1.05539   0.0147421
         474     0.84115     1.05494   0.0147179
         475    0.840748     1.05449   0.0146938
         476    0.840347     1.05404   0.0146699
         477    0.839948     1.05359    0.014646
         478    0.839553     1.05314   0.0146222
         479    0.839162      1.0527   0.0145985
         480    0.838776     1.05225   0.0145748
         481    0.838395     1.05181   0.0145513
         482    0.838021     1.05136   0.0145279
         483    0.837655     1.05092   0.0145046
         484    0.837298     1.05048   0.0144813
         485     0.83695     1.05004   0.0144581
         486    0.836613      1.0496   0.0144351
         487    0.836287     1.04916   0.0144121
         488    0.835973     1.04872   0.0143891
         489    0.835672     1.04829   0.0143663
         490    0.835384     1.04785   0.0143436
         491     0.83511     1.04742   0.0143209
         492    0.834851     1.04699   0.0142983
         493    0.834607     1.04656   0.0142758
         494     0.83438     1.04613   0.0142533
         495     0.83417      1.0457    0.014231
         496    0.833978     1.04527   0.0142087
         497    0.833805     1.04485   0.0141865
         498    0.833652     1.04442   0.0141643
         499    0.833519       1.044   0.0141422
         500    0.833408     1.04358   0.0141202
         501    0.833317     1.04316   0.0140983
         502     0.83325     1.04274   0.0140764
         503    0.833205     1.04233   0.0140546
         504    0.833185     1.04191   0.0140328
         505    0.833188      1.0415   0.0140111
         506    0.833217     1.04109   0.0139895
         507    0.833272     1.04068   0.0139679
         508    0.833354     1.04027   0.0139463
         509    0.833463     1.03986   0.0139249
         510      0.8336     1.03946   0.0139034
         511    0.833764     1.03905    0.013882
         512    0.833957     1.03865   0.0138607
         513    0.834178     1.03826   0.0138394
         514    0.834428     1.03786   0.0138182
         515    0.834708     1.03746    0.013797
         516    0.835018     1.03707   0.0137758
         517    0.835357     1.03668   0.0137547
         518    0.835727     1.03629   0.0137336
         519    0.836128     1.03591   0.0137126
         520    0.836559     1.03552   0.0136915
         521    0.837022     1.03514   0.0136706
         522    0.837516     1.03477   0.0136496
         523     0.83804     1.03439   0.0136287
         524    0.838595     1.03402   0.0136078
         525    0.839181     1.03364    0.013587
         526    0.839798     1.03328   0.0135661
         527    0.840445     1.03291   0.0135453
         528    0.841122     1.03255   0.0135245
         529     0.84183     1.03219   0.0135038
         530    0.842568     1.03183    0.013483
         531    0.843335     1.03147   0.0134623
         532    0.844131     1.03112   0.0134416
         533    0.844955     1.03077   0.0134209
         534    0.845807     1.03043   0.0134003
         535    0.846686     1.03008   0.0133796
         536     0.84759     1.02974    0.013359
         537    0.848521      1.0294   0.0133384
         538    0.849477     1.02907   0.0133178
         539    0.850457     1.02874   0.0132972
         540    0.851461     1.02841   0.0132766
         541    0.852487     1.02809    0.013256
         542    0.853534     1.02776   0.0132355
         543    0.854601     1.02744    0.013215
         544    0.855687     1.02713   0.0131944
         545    0.856792     1.02682   0.0131739
         546    0.857914     1.02651   0.0131534
         547    0.859052      1.0262    0.013133
         548    0.860206      1.0259   0.0131125
         549    0.861373      1.0256    0.013092
         550    0.862554      1.0253   0.0130716
         551    0.863746     1.02501   0.0130511
         552    0.864949     1.02472   0.0130307
