#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         221    -5.47954    -6.01839   0.0205355
         222    -5.47769    -6.01595    0.020587
         223     -5.4761    -6.01353   0.0206365
         224    -5.47447    -6.01112   0.0206842
         225    -5.47293    -6.00873   0.0207301
         226     -5.4715    -6.00635   0.0207742
         227    -5.47033    -6.00399   0.0208165
         228     -5.4691    -6.00165    0.020857
         229    -5.46813    -5.99932   0.0208956
         230    -5.46695      -5.997   0.0209325
         231    -5.46632     -5.9947   0.0209676
         232    -5.46595    -5.99242   0.0210007
         233    -5.46521    -5.99016   0.0210322
         234    -5.46441    -5.98792   0.0210619
         235    -5.46386    -5.98569     0.02109
         236    -5.46355    -5.98347   0.0211164
         237    -5.46317    -5.98128   0.0211411
         238    -5.46288     -5.9791   0.0211642
         239    -5.46268    -5.97694   0.0211857
         240    -5.46255     -5.9748   0.0212055
         241    -5.46281    -5.97267   0.0212237
         242    -5.46285    -5.97056   0.0212403
         243    -5.46296    -5.96848   0.0212553
         244    -5.46329    -5.96641   0.0212688
         245    -5.46354    -5.96435   0.0212808
         246    -5.46417    -5.96232   0.0212912
         247    -5.46516    -5.96031   0.0212999
         248    -5.46561    -5.95831   0.0213073
         249    -5.46597    -5.95633   0.0213132
         250    -5.46655    -5.95438   0.0213178
         251    -5.46717    -5.95243   0.0213211
         252    -5.46846    -5.95051   0.0213228
         253    -5.46919    -5.94861   0.0213232
         254    -5.46997    -5.94673   0.0213224
         255    -5.47064    -5.94486   0.0213203
         256    -5.47136    -5.94301   0.0213171
         257    -5.47272    -5.94118   0.0213126
         258    -5.47381    -5.93937   0.0213068
         259    -5.47449    -5.93757      0.0213
         260    -5.47551     -5.9358   0.0212921
         261     -5.4764    -5.93404   0.0212832
         262    -5.47763    -5.93229   0.0212731
         263    -5.47872    -5.93057    0.021262
         264    -5.47984    -5.92886   0.0212499
         265    -5.48099    -5.92717   0.0212368
         266     -5.4823     -5.9255   0.0212227
         267    -5.48347    -5.92384   0.0212077
         268    -5.48451    -5.92221   0.0211919
         269    -5.48556    -5.92058   0.0211752
         270    -5.48677    -5.91898   0.0211576
         271    -5.48784    -5.91738   0.0211393
         272    -5.48907    -5.91581   0.0211201
         273    -5.49045    -5.91425   0.0211001
         274    -5.49168    -5.91271   0.0210794
         275    -5.49261    -5.91118    0.021058
         276    -5.49415    -5.90967   0.0210359
         277    -5.49538    -5.90818    0.021013
         278    -5.49661    -5.90669   0.0209895
         279    -5.49783    -5.90523   0.0209654
         280    -5.49905    -5.90378   0.0209407
         281    -5.50041    -5.90234   0.0209153
         282    -5.50176    -5.90092   0.0208893
         283     -5.5031    -5.89952   0.0208627
         284    -5.50428    -5.89813   0.0208356
         285     -5.5056    -5.89675    0.020808
         286    -5.50706    -5.89539   0.0207798
         287    -5.50805    -5.89404   0.0207512
         288    -5.50933     -5.8927   0.0207221
         289    -5.51014    -5.89138   0.0206926
         290    -5.51154    -5.89007   0.0206627
         291    -5.51278    -5.88877   0.0206323
         292    -5.51385    -5.88749   0.0206016
         293    -5.51475    -5.88621   0.0205705
         294    -5.51578    -5.88495   0.0205391
         295    -5.51679    -5.88371   0.0205073
         296    -5.51779    -5.88247   0.0204753
         297    -5.51877    -5.88125   0.0204429
         298    -5.51958    -5.88003   0.0204103
         299    -5.52037    -5.87883   0.0203775
         300    -5.52144    -5.87764   0.0203443
         301     -5.5225    -5.87646   0.0203109
         302    -5.52353    -5.87529   0.0202773
         303     -5.5247    -5.87413   0.0202433
         304    -5.52555    -5.87299   0.0202092
         305    -5.52653    -5.87185   0.0201748
         306    -5.52764    -5.87072   0.0201402
         307    -5.52843    -5.86961   0.0201055
         308    -5.52951    -5.86851   0.0200705
         309    -5.52966    -5.86741   0.0200355
         310    -5.53039    -5.86632   0.0200003
