#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         611    -4.70424    -4.70248 0.000246882
         612    -4.70422    -4.70248 0.000246495
         613    -4.70419    -4.70248 0.000246109
         614    -4.70402    -4.70249  0.00024572
         615    -4.70384    -4.70249 0.000245331
         616    -4.70412    -4.70249 0.000244947
         617    -4.70409    -4.70249 0.000244564
         618    -4.70407     -4.7025 0.000244181
         619    -4.70405     -4.7025 0.000243799
         620    -4.70417     -4.7025 0.000243421
         621    -4.70445    -4.70251 0.000243049
         622    -4.70428    -4.70251 0.000242675
         623    -4.70425    -4.70251 0.000242302
         624    -4.70438    -4.70251 0.000241932
         625    -4.70436    -4.70252 0.000241563
         626    -4.70433    -4.70252 0.000241195
         627    -4.70431    -4.70252 0.000240827
         628    -4.70413    -4.70253 0.000240457
         629    -4.70396    -4.70253 0.000240085
         630    -4.70394    -4.70253 0.000239715
         631    -4.70407    -4.70253 0.000239347
         632    -4.70374    -4.70253 0.000238976
         633    -4.70387    -4.70254 0.000238608
         634     -4.7037    -4.70254 0.000238239
         635    -4.70367    -4.70254  0.00023787
         636    -4.70365    -4.70254 0.000237503
         637    -4.70363    -4.70254 0.000237136
         638    -4.70346    -4.70254 0.000236768
         639    -4.70343    -4.70255 0.000236402
         640    -4.70356    -4.70255 0.000236038
         641    -4.70354    -4.70255 0.000235675
         642    -4.70352    -4.70255 0.000235313
         643    -4.70365    -4.70255 0.000234953
         644    -4.70363    -4.70255 0.000234594
         645    -4.70361    -4.70256 0.000234236
         646    -4.70374    -4.70256 0.000233881
         647    -4.70357    -4.70256 0.000233524
         648    -4.70355    -4.70256 0.000233169
         649    -4.70323    -4.70256 0.000232812
         650    -4.70321    -4.70256 0.000232456
         651    -4.70349    -4.70256 0.000232103
         652    -4.70332    -4.70257  0.00023175
         653     -4.7033    -4.70257 0.000231398
         654    -4.70359    -4.70257  0.00023105
         655    -4.70372    -4.70257 0.000230704
         656     -4.7037    -4.70257 0.000230358
         657    -4.70369    -4.70257 0.000230014
         658    -4.70382    -4.70258 0.000229672
