#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         312     1761.29     1739.78     26.0629
         313     1759.04     1739.84     25.9797
         314     1757.16     1739.89     25.8971
         315     1755.05     1739.94     25.8149
         316     1753.11     1739.98     25.7332
         317     1751.34     1740.02     25.6521
         318     1749.74     1740.05     25.5714
         319     1747.69     1740.07     25.4913
         320     1745.82     1740.09     25.4116
         321     1743.92      1740.1     25.3325
         322     1741.36     1740.11     25.2538
         323     1738.98      1740.1     25.1756
         324     1736.57     1740.09     25.0979
         325     1734.34     1740.08     25.0207
         326     1731.88     1740.05      24.944
         327     1729.39     1740.02     24.8677
         328     1726.87     1739.98     24.7919
         329     1724.54     1739.93     24.7166
         330     1721.77     1739.88     24.6418
         331     1719.81     1739.82     24.5674
         332      1717.2     1739.75     24.4935
         333     1714.58     1739.67       24.42
         334     1712.35     1739.59     24.3471
         335      1709.9      1739.5     24.2746
         336     1707.02      1739.4     24.2025
         337     1704.54      1739.3     24.1309
         338     1701.63     1739.19     24.0598
         339     1698.92     1739.07     23.9891
         340     1696.41     1738.95     23.9189
         341     1693.47     1738.81     23.8491
         342     1690.74     1738.67     23.7798
         343     1687.79     1738.52     23.7109
         344     1685.26     1738.37     23.6425
         345      1682.3     1738.21     23.5745
         346     1679.14     1738.04      23.507
         347      1676.6     1737.86     23.4399
         348     1673.65     1737.67     23.3733
         349     1670.71     1737.48     23.3071
         350     1668.18     1737.28     23.2414
         351     1665.46     1737.08      23.176
         352     1663.16     1736.87     23.1112
         353     1660.66     1736.65     23.0467
         354     1657.96     1736.43     22.9827
         355     1654.86      1736.2     22.9191
         356     1651.99     1735.96     22.8559
         357     1649.33     1735.72     22.7932
         358      1646.7     1735.47     22.7309
         359     1644.08     1735.22      22.669
         360      1641.9     1734.96     22.6075
         361     1639.54      1734.7     22.5464
         362     1636.78     1734.42     22.4857
         363     1634.68     1734.15     22.4255
         364     1632.39     1733.87     22.3656
         365     1628.88     1733.58     22.3062
         366     1626.23     1733.29     22.2472
         367     1623.82     1732.99     22.1885
         368     1621.24     1732.69     22.1303
         369      1619.1     1732.38     22.0725
         370     1616.59     1732.07     22.0151
         371     1614.11     1731.75      21.958
         372      1612.3     1731.43     21.9013
         373     1609.69      1731.1     21.8451
         374     1607.53     1730.77     21.7891
         375     1605.42     1730.44     21.7336
         376     1603.36      1730.1     21.6784
         377     1601.54     1729.76     21.6236
         378     1599.77     1729.41     21.5691
         379     1598.04     1729.07      21.515
         380     1596.37     1728.72     21.4612
         381     1594.32     1728.37     21.4078
         382     1592.54     1728.01     21.3547
         383     1590.59     1727.65      21.302
         384      1588.7     1727.29     21.2496
         385     1587.07     1726.92     21.1975
         386     1585.08     1726.56     21.1458
         387     1583.35     1726.19     21.0944
         388     1582.08     1725.82     21.0433
         389     1580.88     1725.44     20.9925
         390     1579.94     1725.07     20.9419
         391     1578.85      1724.7     20.8917
         392     1577.82     1724.32     20.8418
         393     1576.23     1723.94     20.7922
         394     1574.69     1723.57     20.7428
         395     1573.43     1723.19     20.6938
         396     1572.22      1722.8     20.6451
         397     1571.08     1722.42     20.5966
         398     1570.41     1722.04     20.5484
         399      1569.6     1721.66     20.5004
         400     1568.86     1721.28     20.4528
         401     1568.39      1720.9     20.4053
         402     1567.56     1720.51     20.3581
         403      1566.6     1720.13     20.3112
         404     1566.11     1719.75     20.2645
         405     1565.49     1719.37      20.218
         406     1565.55     1718.99     20.1718
         407     1565.27     1718.61     20.1257
         408     1565.05     1718.24     20.0799
         409      1564.9     1717.86     20.0343
         410     1565.03     1717.49     19.9889
         411     1564.81     1717.12     19.9438
         412     1565.29     1716.75     19.8988
         413     1565.41     1716.38     19.8539
         414     1565.61     1716.02     19.8093
         415     1565.46     1715.66     19.7649
         416     1565.79      1715.3     19.7207
         417      1566.4     1714.94     19.6766
         418     1567.29     1714.59     19.6327
         419     1568.25     1714.24      19.589
         420     1569.49     1713.89     19.5454
         421     1570.38     1713.55     19.5019
         422     1570.92     1713.21     19.4586
         423     1571.33     1712.88     19.4155
         424     1572.22     1712.55     19.3726
         425     1574.01     1712.22     19.3297
         426     1574.62      1711.9      19.287
         427     1575.71     1711.58     19.2445
         428     1576.88     1711.26     19.2021
         429     1578.11     1710.95     19.1599
         430     1579.41     1710.65     19.1178
         431     1580.77     1710.34     19.0758
         432        1582     1710.05     19.0339
         433     1583.29     1709.76     18.9922
         434     1585.06     1709.47     18.9506
         435     1586.69     1709.19     18.9092
         436     1588.17     1708.91     18.8678
         437     1589.93     1708.64     18.8266
         438     1592.37     1708.37     18.7855
         439     1593.84     1708.11     18.7445
         440     1596.61     1707.86     18.7036
         441     1598.62     1707.61     18.6629
         442     1600.68     1707.37     18.6222
         443      1602.8     1707.13     18.5817
         444     1605.39      1706.9     18.5412
         445     1607.42     1706.68     18.5009
         446     1609.71     1706.46     18.4607
         447     1612.27     1706.25     18.4206
         448     1614.87     1706.05     18.3806
         449     1617.74     1705.85     18.3407
         450     1619.83     1705.66      18.301
         451     1622.38     1705.47     18.2613
         452     1624.15     1705.29     18.2218
         453     1627.21     1705.12     18.1824
         454     1630.32     1704.96     18.1431
         455     1633.05      1704.8     18.1039
         456     1636.04     1704.65     18.0649
         457     1639.06      1704.5     18.0259
         458     1641.71     1704.37     17.9871
         459     1645.23     1704.24     17.9483
         460     1647.95     1704.12     17.9097
         461     1650.71        1704     17.8713
         462     1654.12     1703.89     17.8329
         463     1657.15     1703.79     17.7947
         464     1660.42      1703.7     17.7566
         465     1663.29     1703.61     17.7186
         466     1666.61     1703.53     17.6807
         467     1669.74     1703.46      17.643
         468      1673.1     1703.39     17.6055
         469     1675.86     1703.33      17.568
         470     1678.63     1703.28     17.5307
         471     1681.84     1703.24     17.4936
         472     1685.26      1703.2     17.4565
         473     1688.48     1703.17     17.4197
         474     1691.72     1703.14     17.3829
         475     1694.75     1703.13     17.3463
         476      1698.2     1703.12     17.3099
         477     1701.44     1703.11     17.2736
         478     1704.69     1703.12     17.2375
         479     1707.72     1703.12     17.2015
         480     1710.96     1703.14     17.1657
         481     1714.19     1703.16       17.13
         482      1717.2     1703.19     17.0945
         483     1720.62     1703.23     17.0591
         484     1724.02     1703.27     17.0239
         485      1727.2     1703.32     16.9889
         486     1730.57     1703.38      16.954
         487     1733.08     1703.44     16.9193
         488      1736.2     1703.51     16.8848
         489     1739.29     1703.58     16.8504
         490     1742.35     1703.66     16.8162
         491     1745.18     1703.74     16.7822
         492     1747.97     1703.83     16.7483
         493     1750.94     1703.93     16.7146
         494     1753.66     1704.03     16.6811
         495     1756.55     1704.13     16.6477
         496     1759.19     1704.25     16.6145
         497     1761.99     1704.36     16.5815
         498     1765.17     1704.48     16.5487
         499     1767.68     1704.61      16.516
         500     1770.34     1704.74     16.4835
         501     1772.54     1704.88     16.4511
         502     1775.72     1705.02      16.419
         503     1778.43     1705.16      16.387
         504     1781.71     1705.32     16.3551
         505      1784.1     1705.47     16.3235
         506     1786.43     1705.63      16.292
         507     1788.69      1705.8     16.2607
         508     1790.89     1705.96     16.2296
         509     1793.24     1706.14     16.1986
         510     1795.31     1706.31     16.1678
         511     1797.32     1706.49     16.1371
